PassengerId,survival_prob,survived_pred,threshold,model_path,scored_at
892,0.16774624776721672,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
893,0.4447219968805905,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
894,0.17188211256475558,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
895,0.14693690412586322,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
896,0.6833175361655756,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
897,0.22383276091860865,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
898,0.756158972779296,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
899,0.3047006691038404,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
900,0.833057519720611,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
901,0.12220920508375643,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
902,0.1372741897763579,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
903,0.43217099889145466,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
904,0.9511291463665886,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
905,0.09180349522593828,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
906,0.8825737876624297,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
907,0.9058316005498978,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
908,0.3770753141616292,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
909,0.2560688792288611,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
910,0.638957938097767,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
911,0.6311346081116608,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
912,0.401151404232511,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
913,0.26013771233882116,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
914,0.9505444650219793,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
915,0.7636055933428797,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
916,0.9192246135868553,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
917,0.05235289795512696,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
918,0.9755872105367017,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
919,0.2449061888214496,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
920,0.4813129445105208,1,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
921,0.13772085028118491,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
922,0.1447421650827427,0,0.45,..\outputs\titanic_feature_sel_20251016-165020_reduced_pipeline.pkl,2025-10-16T22:57:56Z
