PassengerId,survival_prob,survived_pred,Survived
892,0.12045118061160177,0,0
893,0.4480988770285554,0,1
894,0.09885731086326599,0,0
895,0.18120755950531742,0,0
896,0.5746545340066975,0,1
897,0.23584475886083517,0,0
898,0.8226395300724866,1,1
899,0.2754503935578731,0,0
900,0.7709539900676963,1,1
901,0.19969659464117598,0,0
902,0.040603778901022194,0,0
903,0.24091107909838666,0,0
904,0.9814702471541298,1,1
905,0.12728879475388294,0,0
906,0.9819942970750972,1,1
907,0.9202742652591793,1,1
908,0.14508961155869737,0,0
909,0.2055549086374947,0,0
910,0.41114908994141025,0,1
911,0.6797395815526228,1,1
912,0.5006427504732881,0,0
913,0.3417132790329116,0,0
914,0.9752186456065336,1,1
915,0.5249773246920273,0,0
916,0.8507587931893292,1,1
917,0.14054892021803433,0,0
918,0.9847452381209303,1,1
919,0.19795005571798413,0,0
920,0.6204105263150307,1,0
921,0.32037498774625767,0,0
922,0.13946466948961223,0,0
923,0.250873257685763,0,0
924,0.5000607740630745,0,1
925,0.4910684587090509,0,1
926,0.5487357090417281,0,0
927,0.2942831864800041,0,0
928,0.47652871628708093,0,1
929,0.523768469256386,0,1
930,0.1452441726535392,0,0
931,0.5324617717331542,0,0
932,0.31817241608317376,0,0
933,0.5316709526112612,0,0
934,0.14453949057314214,0,0
935,0.9463225702431793,1,1
936,0.978252259120232,1,1
937,0.14090370742093838,0,0
938,0.5128620469888346,0,0
939,0.2525252726217154,0,0
940,0.927374144918775,1,1
941,0.6284703255176308,1,1
942,0.4886800614779233,0,0
943,0.32150773413667144,0,0
944,0.8782628272877582,1,1
945,0.6627650681272533,1,1
946,0.2960100645731678,0,0
947,0.12218391833546091,0,0
948,0.09695124117583008,0,0
949,0.10592753513975567,0,0
950,0.10509063459155567,0,0
951,0.9887251027085753,1,1
952,0.12780396716534553,0,0
953,0.25161525845267046,0,0
954,0.14313457536527963,0,0
955,0.8651663426753818,1,1
956,0.570955427839199,0,0
957,0.9210457094434668,1,1
958,0.8447223560017736,1,1
959,0.29963516581714245,0,0
960,0.5478164872337892,0,0
961,0.6621159013351626,1,1
962,0.8709162162827471,1,1
963,0.05239327593741515,0,0
964,0.5055419021164499,0,1
965,0.5278710690558671,0,0
966,0.9892777797379361,1,1
967,0.47856289471001934,0,0
968,0.0711472359632715,0,0
969,0.8700995041542606,1,1
970,0.134148475684245,0,0
971,0.8709162162827471,1,1
972,0.6811366958457816,1,0
973,0.45666701666959797,0,0
974,0.27120757908367316,0,0
975,0.040603778901022194,0,0
976,0.1528985795833896,0,0
977,0.30239618047174294,0,0
978,0.8628022786085974,1,1
979,0.5300102447275556,0,1
980,0.8603804358959479,1,1
981,0.7972894410019643,1,0
982,0.4012830865877206,0,1
983,0.2128229090212416,0,0
984,0.900283711966625,1,1
985,0.0711472359632715,0,0
986,0.42054101673173605,0,0
987,0.1922530312923938,0,0
988,0.9616435346588665,1,1
989,0.13968163898605218,0,0
990,0.6011654398493603,0,1
991,0.2767157854118999,0,0
992,0.9873302718417734,1,1
993,0.1829887863447754,0,0
994,0.2525252726217154,0,0
995,0.20667050740927223,0,0
996,0.6064332332337283,0,1
997,0.15775568662609396,0,0
998,0.18645386840875086,0,0
999,0.2525252726217154,0,0
1000,0.13277359311248463,0,0
